06-23 11:46:27.919 192.168.86.130:54321  13758  #r thread INFO: ----- H2O started  -----
06-23 11:46:27.937 192.168.86.130:54321  13758  #r thread INFO: Build git branch: michalk-bueno
06-23 11:46:27.937 192.168.86.130:54321  13758  #r thread INFO: Build git hash: e322f0d8ae1bbc8072ec026021aef9d3c86e4add
06-23 11:46:27.937 192.168.86.130:54321  13758  #r thread INFO: Build git describe: jenkins-3.12.0.1-6-ge322f0d
06-23 11:46:27.937 192.168.86.130:54321  13758  #r thread INFO: Build project version: 3.10.5.1 (latest version: 3.10.5.2)
06-23 11:46:27.938 192.168.86.130:54321  13758  #r thread INFO: Build age: 13 days
06-23 11:46:27.938 192.168.86.130:54321  13758  #r thread INFO: Built by: 'jenkins'
06-23 11:46:27.938 192.168.86.130:54321  13758  #r thread INFO: Built on: '2017-06-09 18:24:24'
06-23 11:46:27.938 192.168.86.130:54321  13758  #r thread INFO: Watchdog Build git branch: (unknown)
06-23 11:46:27.938 192.168.86.130:54321  13758  #r thread INFO: Watchdog Build git hash: (unknown)
06-23 11:46:27.938 192.168.86.130:54321  13758  #r thread INFO: Watchdog Build git describe: (unknown)
06-23 11:46:27.940 192.168.86.130:54321  13758  #r thread INFO: Watchdog Build project version: (unknown)
06-23 11:46:27.940 192.168.86.130:54321  13758  #r thread INFO: Watchdog Built by: (unknown)
06-23 11:46:27.940 192.168.86.130:54321  13758  #r thread INFO: Watchdog Built on: (unknown)
06-23 11:46:27.940 192.168.86.130:54321  13758  #r thread INFO: Processed H2O arguments: [-name, sparkling-water-andrea_local-1498243583589, -ga_opt_out, -log_level, INFO, -baseport, 54321, -ip, 192.168.86.130, -log_dir, /home/andrea/IdeaProjects/h20prova/h2ologs/local-1498243583589]
06-23 11:46:27.940 192.168.86.130:54321  13758  #r thread INFO: Java availableProcessors: 1
06-23 11:46:27.940 192.168.86.130:54321  13758  #r thread INFO: Java heap totalMemory: 121.9 MB
06-23 11:46:27.941 192.168.86.130:54321  13758  #r thread INFO: Java heap maxMemory: 1.88 GB
